Restaurant Name,Website,Address,Phone Number,Email Address,Reviews
Bourbon Steak By Michael Mina,https://www.bourbonsteaknyc.com/,"160 Central Park S, New York City, NY 10019-1502",+1 212-484-5120,info@bourbonsteaknyc.com,136
Lindens,https://www.lindensnyc.com/,"2 Renwick St, New York City, NY 10013",+1 929-595-7706,hello@lindensnyc.com,95
Ocean Prime,https://www.ocean-prime.com/locations/new-york-city,"123 W 52nd St, New York City, NY 10019",+1 212-956-1404,opnewyork@cameronmitchell.com,775
Altair Restaurant,https://www.altairnyc.com/,"351 W 38th St Arlo Midtown, New York City, NY 10018",+1 212-343-7000,hello@altairnyc.com,89
Olio E Più,http://www.olioepiu.com/,"3 Greenwich Avenue, New York City, NY 10014",+1 212-243-6546,contact@olioepiu.nyc,"3,852"
The Lobster Club,http://thelobsterclub.com/,"98 E 53rd St Seagram Building, New York City, NY 10022","+1 212-254-3000",info@thelobsterclub.com,59
Westway Diner,https://www.westwaydiner.com/,"614 Ninth Avenue, New York City, NY 10036",+1 212-582-7661,westwaydiner@gmail.com,"2,609"
Andrews Coffee Shop,http://www.andrewsny.com/,"463 7th Ave, New York City, NY 10018-7604","+1 212-695-1962",myandrewsnyc@gmail.com,"2,520"
Nobu Fifty Seven,https://www.noburestaurants.com/fifty-seven,"40 W 57 Street, New York City, NY 10019",+1 212-757-3000,fiftyseven@noburestaurants.com,"1,955"
Burger & Lobster Bryant Park,https://www.burgerandlobster.com/locations/new-york/bryant-park,"132 W 43rd St Next to Stephen Sondheim Theatre, New York City, NY 10036-6503",+1 917-565-9044,inquiries.usa@burgerandlobster.com,604
John's Coffee Shop,https://www.johnscoffeenyc.com/,"823 2nd Ave, New York City, NY 10017-4501",+1 212-867-4955,johnscoffeenyc@gmail.com,308
Le Bernardin,http://www.le-bernardin.com/,"155 W 51st St, New York City, NY 10019-6019",+1 212-554-1515,kburroughs@le-bernardin.com,"3,675"
Brooklyn Diner,http://brooklyndiner.com/,"212 W 57th St, New York City, NY 10019-3200",+1 212-977-1957,info@brooklyndiner.com,"3,036"
The Skylark - Rooftop Bar,https://www.theskylarknyc.com/lounge,"200 W 39th St 30th Floor, New York City, NY 10018-8242",+1 212-257-4577,reservations@theskylarknyc.com,399
Rh Rooftop Restaurant At Rh New York,http://www.rh.com/newyork/restaurant,"9 Ninth Avenue, New York City, NY 10014","+1 212-217-2210",newyorkrestaurant@rh.com,202
Nerai,http://nerainyc.com/,"55 E 54th St Between Madison Avenue & Park Avenue, New York City, NY 10022-4206",+1 212-759-5554,hospitality@nerainyc.com,703
Glass House Tavern,http://www.glasshousetavern.com/,"252 W. 47th St., New York City, NY 10036-1415",+1 212-730-4800,chris@glasshousetavern.com,917
Raoul's,http://raouls.com/,"180 Prince St, New York City, NY 10012-2924",+1 212-966-3518,info@raouls.com,433
Trinity Place,http://www.trinityplacenyc.com/,"115 Broadway Entrance Along Cedar St, New York City, NY 10006",+1 929-581-8961,marcella@trinityplacenyc.com,407
Compiled by Diki Darmawan – Data Entry Project (TripAdvisor NYC Restaurants),,,,,
